,incident_id,incident_date,month,day,year,state,city_or_county,address,killed,injured,Regions,year category
0,2201535,December 31 2021,December,31,2021,Maryland,Capitol Heights,Cindy Ln,0,4,South,early 2020s
1,2201716,December 31 2021,December,31,2021,Mississippi,Gulfport,1200 block of Lewis Ave,3,4,South,early 2020s
2,2201216,December 31 2021,December,31,2021,California,Los Angeles,10211 S. Avalon Blvd,0,6,West,early 2020s
3,2200968,December 30 2021,December,30,2021,Pennsylvania,Philadelphia,5100 block of Germantown Ave,0,6,Northeast,early 2020s
4,2201052,December 30 2021,December,30,2021,Missouri,Kirksville,700 block of E Dodson St,2,2,Midwest,early 2020s
5,2198521,December 27 2021,December,27,2021,Colorado,Denver,56 Broadway,6,2,West,early 2020s
6,2198014,December 27 2021,December,27,2021,Ohio,Youngstown,2626 Tyrell Ave,1,3,Midwest,early 2020s
7,2200720,December 27 2021,December,27,2021,Alabama,Mobile,3606 Moffett Rd,1,3,South,early 2020s
8,2198071,December 26 2021,December,26,2021,New York,Buffalo,1300 block of Jefferson Ave,0,4,Northeast,early 2020s
9,2197391,December 26 2021,December,26,2021,Texas,Garland,730 W Walnut St,3,1,South,early 2020s
10,2197178,December 26 2021,December,26,2021,Virginia,Clear Brook,I-81 S and Visitor Center Loop,1,4,South,early 2020s
11,2197421,December 26 2021,December,26,2021,Mississippi,Fayette,225 Community Dr,1,6,South,early 2020s
12,2197328,December 26 2021,December,26,2021,Pennsylvania,Philadelphia,800 block of W Clearfield St,0,4,Northeast,early 2020s
13,2196827,December 25 2021,December,25,2021,Louisiana,Lafayette,2100 block of NE Evangeline Thruway,0,4,South,early 2020s
14,2196434,December 24 2021,December,24,2021,Georgia,Roswell,401 Huntington Dr,1,3,South,early 2020s
15,2196839,December 24 2021,December,24,2021,New York,Brooklyn,1031 Nostrand Ave,0,4,Northeast,early 2020s
16,2196267,December 24 2021,December,24,2021,Pennsylvania,Pittsburgh,7300 block of Schoyer St,0,6,Northeast,early 2020s
17,2193049,December 19 2021,December,19,2021,Illinois,Lovejoy (Brooklyn),213 Madison St,1,3,Midwest,early 2020s
18,2191683,December 17 2021,December,17,2021,Virginia,Portsmouth,4105 Portsmouth Blvd,0,4,South,early 2020s
19,2191752,December 17 2021,December,17,2021,Maryland,Baltimore,600 block of Laurens St,1,3,South,early 2020s
20,2192046,December 17 2021,December,17,2021,Maryland,Baltimore,1300 block of W North Ave,1,4,South,early 2020s
21,2191479,December 16 2021,December,16,2021,Alabama,Troy,600 Block of Botts Ave,0,4,South,early 2020s
22,2188999,December 13 2021,December,13,2021,California,Fresno,E Normal Ave and Mayfair Dr S,0,4,West,early 2020s
23,2188260,December 13 2021,December,13,2021,North Carolina,Durham,Eugene St and Mathison St,2,4,South,early 2020s
24,2188843,December 13 2021,December,13,2021,Pennsylvania,Philadelphia,3400 block of Emerald St,0,4,Northeast,early 2020s
25,2187939,December 12 2021,December,12,2021,Mississippi,Bolton,6171 W. Northside Dr,0,6,South,early 2020s
26,2190367,December 12 2021,December,12,2021,Florida,Tampa,Alaska Ave,0,5,South,early 2020s
27,2187990,December 12 2021,December,12,2021,Texas,Baytown,1403 N Market Loop,1,13,South,early 2020s
28,2188066,December 12 2021,December,12,2021,Virginia,Woodbridge,13989 Jefferson Davis Hwy,0,4,South,early 2020s
29,2187027,December 11 2021,December,11,2021,Illinois,River Grove,3111 River Rd,1,3,Midwest,early 2020s
30,2186517,December 10 2021,December,10,2021,Michigan,Lansing,Miller Rd and Cedar St,1,3,Midwest,early 2020s
31,2187077,December 10 2021,December,10,2021,Florida,Orlando,Jefferson St and Garden Ave,0,5,South,early 2020s
32,2186696,December 10 2021,December,10,2021,North Carolina,Charlotte,3100 block of Marney Ave,0,5,South,early 2020s
33,2186858,December 9 2021,December,9,2021,Maryland,Capitol Heights,6700 Walker Mill Rd,0,4,South,early 2020s
34,2186246,December 9 2021,December,9,2021,Wisconsin,Beloit,1900 block of Porter Ave,1,5,Midwest,early 2020s
